Timestamp,Open,High,Low,Close,Adj Close,Volume,Symbol
1513008000,43.037498,43.0975,42.865002,42.924999,40.817371,77636800,Apple
1513094400,43.125,43.384998,43.0,43.067501,40.952873,95273600,Apple
1513180800,43.099998,43.282501,42.912498,43.055,40.940987,81906000,Apple
1513267200,43.407501,43.5425,43.115002,43.4925,41.357002,160677200,Apple
1513526400,43.720001,44.299999,43.715,44.105,41.939434,117684400,Apple
1513612800,43.7575,43.8475,43.522499,43.634998,41.4925,109745600,Apple
1513699200,43.717499,43.855,43.3125,43.587502,41.447346,93902400,Apple
1513785600,43.5425,44.005001,43.525002,43.752499,41.604252,83799600,Apple
1513872000,43.669998,43.855,43.625,43.752499,41.604252,65397600,Apple
1514217600,42.700001,42.8675,42.419998,42.642502,40.548748,132742000,Apple
1514304000,42.525002,42.695,42.427502,42.650002,40.555878,85992800,Apple
1514390400,42.75,42.962502,42.619999,42.77,40.669983,65920800,Apple
1514476800,42.630001,42.647499,42.305,42.307499,40.230186,103999600,Apple
1514822400,42.540001,43.075001,42.314999,43.064999,40.950497,102223600,Apple
1514908800,43.1325,43.637501,42.990002,43.057499,40.943359,118071600,Apple
1514995200,43.134998,43.3675,43.02,43.2575,41.133545,89738400,Apple
1515081600,43.360001,43.842499,43.262501,43.75,41.601864,94640000,Apple
1515340800,43.587502,43.9025,43.482498,43.587502,41.447346,82271200,Apple
1515427200,43.637501,43.764999,43.352501,43.5825,41.442589,86336000,Apple
1515513600,43.290001,43.575001,43.25,43.572498,41.433079,95839600,Apple
1515600000,43.647499,43.872501,43.622501,43.82,41.66843,74670800,Apple
1515686400,44.044998,44.34,43.912498,44.272499,42.098713,101672400,Apple
1516032000,44.474998,44.8475,44.035,44.047501,41.884758,118263600,Apple
1516118400,44.037498,44.8125,43.767502,44.775002,42.576534,137547200,Apple
1516204800,44.842499,45.025002,44.5625,44.814999,42.614571,124773600,Apple
1516291200,44.6525,44.895,44.352501,44.615002,42.4244,129700400,Apple
1516550400,44.325001,44.445,44.150002,44.25,42.077324,108434400,Apple
1516636800,44.325001,44.860001,44.205002,44.259998,42.086815,130756400,Apple
1516723200,44.3125,44.325001,43.299999,43.555,41.416435,204420400,Apple
1516809600,43.627499,43.737499,42.6325,42.7775,40.677113,166116000,Apple
1516896000,43.0,43.0,42.514999,42.877499,40.772209,156572000,Apple
1517155200,42.540001,42.540001,41.767502,41.990002,39.92828,202561600,Apple
1517241600,41.3825,41.842499,41.174999,41.7425,39.69294,184192800,Apple
1517328000,41.717499,42.110001,41.625,41.857498,39.802292,129915600,Apple
1517414400,41.7925,42.154999,41.689999,41.945,39.88549,188923200,Apple
1517500800,41.5,41.700001,40.025002,40.125,38.15485,346375200,Apple
1517760000,39.775002,40.970001,39.0,39.122501,37.201588,290954000,Apple
1517846400,38.7075,40.93,38.5,40.7575,38.756294,272975200,Apple
1517932800,40.772499,40.849998,39.767502,39.884998,37.926636,206434400,Apple
1518019200,40.072498,40.25,38.7575,38.787498,36.883018,217562000,Apple
1518105600,39.267502,39.4725,37.560001,39.102501,37.334156,282690400,Apple
1518364800,39.625,40.9725,39.377499,40.677502,38.837933,243278000,Apple
1518451200,40.487499,41.1875,40.412498,41.084999,39.226997,130196800,Apple
1518537600,40.759998,41.884998,40.720001,41.842499,39.950245,162579600,Apple
1518624000,42.447498,43.272499,42.25,43.247501,41.291706,204588800,Apple
1518710400,43.09,43.705002,42.942501,43.107498,41.158031,160704400,Apple
1519056000,43.012501,43.564999,42.855,42.962502,41.019592,135722000,Apple
1519142400,43.2075,43.529999,42.752499,42.767502,40.833412,149886400,Apple
1519228800,42.950001,43.487499,42.927502,43.125,41.17474,123967600,Apple
1519315200,43.4175,43.912498,43.384998,43.875,41.89082,135249600,Apple
1519574400,44.087502,44.8475,44.052502,44.7425,42.719093,152648800,Apple
1519660800,44.775002,45.119999,44.540001,44.5975,42.580647,155712400,Apple
1519747200,44.814999,45.154999,44.512501,44.529999,42.516205,151128400,Apple
1519833600,44.634998,44.945,43.165001,43.75,41.771481,195208000,Apple
1519920000,43.200001,44.075001,43.112499,44.052502,42.06031,153816000,Apple
1520179200,43.802502,44.435001,43.630001,44.205002,42.205914,113605600,Apple
1520265600,44.477501,44.5625,44.032501,44.1675,42.170094,95154000,Apple
1520352000,43.735001,43.962502,43.567501,43.7575,41.778641,126814000,Apple
1520438400,43.869999,44.279999,43.767502,44.235001,42.234543,95096400,Apple
1520524800,44.490002,45.0,44.3475,44.994999,42.960171,128740800,Apple
1520784000,45.072498,45.5975,45.052502,45.43,43.375504,128828400,Apple
1520870400,45.647499,45.875,44.810001,44.9925,42.957794,126774000,Apple
1520956800,45.080002,45.130001,44.452499,44.610001,42.592587,117473600,Apple
1521043200,44.625,45.060001,44.517502,44.662498,42.642704,90975200,Apple
